source,target,weight
dailytelegraph.com.au,theaustralian.com.au,10900.0
express.co.uk,dailymail.co.uk,101900.0
bloomberg.com,marketwatch.com,25400.0
upi.com,nydailynews.com,42700.0
jezebel.com,splinternews.com,253.0
theguardian.com,independent.co.uk,60600.0
ntknetwork.com,freebeacon.com,4300.0
politifact.com,politico.com,21700.0
newyorker.com,vox.com,18900.0
exposinggovernment.com,exposinggovernment.com,0.5
euractiv.com,euobserver.com,2600.0
theatlantic.com,newyorker.com,39700.0
nationalreview.com,washingtonexaminer.com,8700.0
gallup.com,pewresearch.org,11200.0
foreignpolicyjournal.com,ifamericaknew.org,194.0
alreporter.com,altoday.com,109.0
newsobserver.com,wral.com,4600.0
washingtonexaminer.com,washingtontimes.com,20200.0
crfb.org,pgpf.org,533.0
economictimes.indiatimes.com,indianexpress.com,14900.0
theblaze.com,townhall.com,9400.0
thewest.com.au,theaustralian.com.au,10900.0
truebluescoop.com,truebluescoop.com,0.5
vice.com,dailymail.co.uk,105100.0
desmogblog.com,heartland.org,2500.0
deadspin.com,jezebel.com,10200.0
bigleaguepolitics.com,ilovemyfreedom.org,95.0
heritage.org,cato.org,7900.0
factcheck.org,washingtonexaminer.com,8700.0
wral.com,newsobserver.com,7700.0
dailyworldupdate.us,dailyworldupdate.us,0.5
newyorker.com,npr.org,77200.0
mirror.co.uk,thesun.co.uk,18000.0
alternet.org,thinkprogress.org,13100.0
clickhole.com,theonion.com,18000.0
newrepublic.com,politico.com,21700.0
dcwhispers.com,independentsentinel.com,1800.0
informationliberation.com,newswars.com,115.0
freedomcrossroads.com,freedomcrossroads.com,0.5
bloomberg.com,wsj.com,92600.0
nationalreview.com,washingtontimes.com,20200.0
thatsnonsense.com,hoax-slayer.com,1800.0
aei.org,heritage.org,9700.0
americanthinker.com,thegatewaypundit.com,3200.0
freedomhouse.org,hrw.org,12700.0
patriotpost.us,theresurgent.com,336.0
thehill.com,politico.com,21700.0
theonion.com,thehill.com,17500.0
washingtonblade.com,towleroad.com,3900.0
triggerreset.net,dailyheadlines.net,99.0
frc.org,onenewsnow.com,2000.0
bipartisanreport.com,shareblue.com,181.0
aol.com,foxnews.com,57100.0
ronpaulinstitute.org,consortiumnews.com,2500.0
thedcgazette.com,thedcgazette.com,0.5
commentarymagazine.com,amgreatness.com,164.0
cnsnews.com,townhall.com,9400.0
globegazette.com,desmoinesregister.com,5900.0
lgbtqnation.com,advocate.com,4600.0
dailymail.co.uk,thesun.co.uk,18000.0
rollcall.com,thehill.com,17100.0
lifesitenews.com,lifenews.com,3400.0
rappler.com,inquirer.net,23400.0
focusonthefamily.com,christianitytoday.com,8700.0
breitbart.com,dailywire.com,1600.0
independent.co.uk,theguardian.com,66600.0
electronicintifada.net,mondoweiss.net,2500.0
bullshitnews.org,bullshitnews.org,0.5
polygraph.info,leadstories.com,147.0
the-daily-news.co.uk,the-daily-news.co.uk,0.5
cnsnews.com,newsbusters.org,5300.0
brokenworldnews.com,brokenworldnews.com,0.5
unz.com,russia-insider.com,1400.0
nottnews.com,nottnews.com,0.5
aeon.co,bigthink.com,7100.0
popularmechanics.com,consumerreports.org,11100.0
boingboing.net,thedailybeast.com,25000.0
renewamerica.com,frontpagemag.com,6200.0
washingtontimes.com,breitbart.com,36000.0
cnn.com,usatoday.com,72800.0
hoax-slayer.com,thatsnonsense.com,196.0
newsbiscuit.com,dailysquib.co.uk,384.0
newsbusters.org,freebeacon.com,4200.0
conservativefighters.com,conservativepost.com,298.0
campaignforliberty.org,ronpaulinstitute.org,1200.0
whowhatwhy.org,consortiumnews.com,2500.0
schmedium.org,schmedium.org,0.5
conservativebyte.com,conservativebyte.com,0.5
eveningharold.com,eveningharold.com,0.5
pravdareport.com,russia-insider.com,1400.0
highline.huffingtonpost.com,cnn.com,157700.0
ocregister.com,ocweekly.com,3200.0
truthdig.com,consortiumnews.com,2500.0
redice.tv,antifascistnews.net,17.0
inthesetimes.com,jacobinmag.com,704.0
dailyheadlines.net,clashdaily.com,625.0
beaware.one,beaware.one,0.5
middleeastmonitor.com,mondoweiss.net,2500.0
news.com.au,dailymail.co.uk,101900.0
plymouthpatriotpost.com,plymouthpatriotpost.com,0.5
wsj.com,marketwatch.com,25400.0
nautil.us,quantamagazine.org,192.0
independentsentinel.com,100percentfedup.com,277.0
occupydemocrats.com,ifyouonlynews.com,209.0
russia-insider.com,strategic-culture.org,1300.0
bipartisanreport.com,washingtonpress.com,110.0
lewrockwell.com,mises.org,11800.0
factbox.tv,factbox.tv,0.5
filmingcops.com,studionewsnetwork.com,3.0
salon.com,thedailybeast.com,25000.0
thesun.co.uk,dailymail.co.uk,101900.0
torontosun.com,thestar.com,20100.0
santamariatimes.com,noozhawk.com,1400.0
prospect.org,newrepublic.com,5100.0
bizpacreview.com,twitchy.com,1800.0
louderwithcrowder.com,dailywire.com,1600.0
cis.org,migrationpolicy.org,1500.0
carnegieendowment.org,foreignaffairs.com,4000.0
conservativetoday.com,conservativetoday.com,0.5
chaser.com.au,theshovel.com.au,345.0
dailywire.com,washingtonexaminer.com,8700.0
pennlive.com,mcall.com,4500.0
huzlers.com,babylonbee.com,455.0
hillarydaily.com,hillarydaily.com,0.5
politifeed.net,bannedinformation.com,13.0
politico.com,thehill.com,17100.0
studionewsnetwork.com,filmingcops.com,205.0
politicaldig.com,bipartisanreport.com,373.0
weaselzippers.us,independentsentinel.com,1800.0
freewoodpost.com,freewoodpost.com,0.5
strategic-culture.org,theduran.com,892.0
modernliberals.com,modernliberals.com,0.5
breitbart.com,washingtonexaminer.com,8700.0
liberalsociety.com,liberalsociety.com,0.5
inquirer.net,rappler.com,9600.0
conservativedailypost.com,100percentfedup.com,278.0
canadafreepress.com,frontpagemag.com,6200.0
sun-sentinel.com,miamiherald.com,15000.0
liberalbias.com,liberalbias.com,0.5
slate.com,npr.org,79400.0
missoulian.com,mtstandard.com,779.0
unclesamsmisguidedchildren.com,conservativefiringline.com,197.0
memri.org,jns.org,615.0
economyincrisis.org,economyincrisis.org,0.5
viraldevil.com,viraldevil.com,0.5
republicworld.com,thequint.com,435.0
canadafreepress.com,libertynation.com,74.0
washingtontimes.com,thehill.com,17100.0
libertyhangout.org,pluralist.com,81.0
littlegreenfootballs.com,wonkette.com,4300.0
extranewsfeed.com,leadstories.com,144.0
crfb.org,cbpp.org,3100.0
loveknowledge.org,loveknowledge.org,0.5
amren.com,therightstuff.biz,228.0
takimag.com,lewrockwell.com,6000.0
lynx.media,conservative101.com,76.0
japantimes.co.jp,japantoday.com,3400.0
japantoday.com,japantimes.co.jp,11300.0
nydailynews.com,cbsnews.com,48900.0
cnntimes.online,cnntimes.online,0.5
politico.com,washingtonexaminer.com,8700.0
canadafreepress.com,bigleaguepolitics.com,172.0
therealnews.com,democracynow.org,10200.0
thegatewaypundit.com,dailywire.com,1600.0
pluralist.com,bizpacreview.com,4000.0
texasmonthly.com,texastribune.org,1800.0
numbersusa.com,democratichub.com,36.0
miamiherald.com,sun-sentinel.com,10800.0
nydailynews.com,nypost.com,30400.0
conservativetribune.com,bannedinformation.com,13.0
teapartypatriots.org,teaparty.org,607.0
alternet.org,dailykos.com,15300.0
thewire.in,thequint.com,431.0
