source,target,weight
foreignaffairs.com,csis.org,10.4
oann.com,thegatewaypundit.com,13.1
newpol.org,leftvoice.org,2.1
salon.com,slate.com,13.9
bizpacreview.com,bigleaguepolitics.com,17.4
therightscoop.com,twitchy.com,15.7
ammoland.com,thetruthaboutguns.com,35.8
bizpacreview.com,twitchy.com,20.5
mrc.org,newsbusters.org,11.0
newswithviews.com,americanthinker.com,8.1
usafacts.org,bnonews.com,3.2
publicintegrity.org,sunlightfoundation.com,2.9
thesun.co.uk,mirror.co.uk,39.0
scotsman.com,dailyrecord.co.uk,19.0
mondoweiss.net,middleeastmonitor.com,5.0
ricochet.com,amgreatness.com,11.1
fairus.org,cis.org,21.8
ffrf.org,thehumanist.com,3.2
informationliberation.com,canadafreepress.com,19.2
rawstory.com,dailykos.com,16.8
thewalrus.ca,pressprogress.ca,2.1
capitalresearch.org,mrc.org,1.9
dailysignal.com,conservativereview.com,14.1
weaselzippers.us,therightscoop.com,16.3
conservativefiringline.com,bizpacreview.com,3.1
thenationalpulse.com,independentsentinel.com,21.6
electoral-vote.com,cookpolitical.com,2.8
truth-out.org,inthesetimes.com,1.4
ussanews.com,bigleaguepolitics.com,4.2
govtrack.us,ballotpedia.org,22.4
justsecurity.org,palmerreport.com,5.6
currentaffairs.org,newrepublic.com,3.3
newstatesman.com,newrepublic.com,4.9
federalnewsradio.com,govexec.com,15.5
rollcall.com,washingtonexaminer.com,10.5
libertyheadlines.com,conservativedailypost.com,1.9
carnegieendowment.org,warontherocks.com,11.1
yellowhammernews.com,alreporter.com,12.4
pinknews.co.uk,advocate.com,16.3
teaparty.org,teapartypatriots.org,5.4
federaltimes.com,govexec.com,12.7
occupydemocrats.com,washingtonpress.com,25.5
deadspin.com,theroot.com,13.9
electronicintifada.net,mondoweiss.net,11.5
thediplomat.com,foreignpolicy.com,16.5
theamericanmirror.com,americanthinker.com,6.0
leftfootforward.org,order-order.com,1.9
mediaite.com,dailycaller.com,24.2
stonecoldtruth.com,bigleaguepolitics.com,4.8
dailysignal.com,freebeacon.com,13.9
desmogblog.com,sourcewatch.org,6.7
dailywire.com,thefederalist.com,24.2
washingtonpress.com,occupydemocrats.com,25.5
newsweek.com,foxnews.com,27.0
breitbart.com,dailywire.com,23.2
breitbart.com,dailycaller.com,27.7
warontherocks.com,rand.org,9.2
queerty.com,lgbtqnation.com,11.3
bigleaguepolitics.com,theconservativetreehouse.com,18.6
heritage.org,constitutioncenter.org,13.2
conservativewoman.co.uk,order-order.com,1.6
mrc.org,aim.org,2.5
westernsentinel.com,westernsentinel.com,0.5
memepoliceman.com,peacock-panache.com,7.6
breitbart.com,washingtonexaminer.com,22.0
opensecrets.org,govtrack.us,14.5
westernjournal.com,dailywire.com,18.6
wsws.org,jacobinmag.com,7.0
democraticunderground.com,mediaite.com,3.2
dailycaller.com,townhall.com,27.4
ffrf.org,au.org,4.8
frc.org,lifenews.com,2.4
ntknetwork.com,freebeacon.com,1.4
atlanticcouncil.org,carnegieendowment.org,10.1
wsws.org,counterpunch.org,5.6
studionewsnetwork.com,filmingcops.com,3.2
splinternews.com,washingtonexaminer.com,3.8
therebel.media,pressprogress.ca,3.1
voanews.com,apnews.com,9.1
theguardiansofdemocracy.com,politicaldig.com,3.0
feministing.com,everydayfeminism.com,2.1
altoday.com,alreporter.com,16.3
filmingcops.com,studionewsnetwork.com,3.2
jacobinmag.com,commondreams.org,9.5
patriotpost.us,frontpagemag.com,10.0
powerlineblog.com,amgreatness.com,26.1
breitbart.com,theblaze.com,19.7
nationalreview.com,thefederalist.com,23.2
westernjournal.com,thegatewaypundit.com,21.7
bearingarms.com,twitchy.com,17.6
counterpunch.org,commondreams.org,7.0
townhall.com,pjmedia.com,26.6
deepleftfield.info,bluedotdaily.com,1.2
atimes.com,thediplomat.com,3.1
feministing.com,msmagazine.com,1.0
patriotnewsdaily.com,americanpatriotdaily.com,4.5
moonofalabama.org,ronpaulinstitute.org,2.3
voiceofeurope.com,thegatewaypundit.com,4.1
nationalreview.com,washingtonexaminer.com,28.6
alternet.org,dailykos.com,10.1
thefederalist.com,townhall.com,23.4
afj.org,pfaw.org,7.0
usasupreme.com,subjectpolitics.com,2.6
washingtonmonthly.com,commondreams.org,5.6
conservativereview.com,powerlineblog.com,17.7
conservativeopinion.com,conservativeopinion.com,0.5
cnsnews.com,frontpagemag.com,13.7
pressprogress.ca,north99.org,5.3
americanindependent.com,rawstory.com,3.8
middleeastmonitor.com,dailysabah.com,12.8
mediamatters.org,rawstory.com,12.1
truthrevolt.org,louderwithcrowder.com,2.0
freerepublic.com,theconservativetreehouse.com,12.6
en-volve.com,conservativefighters.com,1.9
truthuncensored.net,oathkeepers.org,3.4
votesmart.org,opensecrets.org,14.1
bitchmedia.org,feministcurrent.com,1.4
lewrockwell.com,ronpaulinstitute.org,9.2
patriotfires.com,patriotfires.com,0.5
thepeoplestruth.com,thepeoplestruth.com,0.5
amgreatness.com,spectator.org,27.2
rightalerts.com,rightalerts.com,0.5
deadstate.org,commondreams.org,3.2
dallasvoice.com,lgbtqnation.com,1.4
cnsnews.com,dailycaller.com,14.3
jacobinmag.com,counterpunch.org,9.7
