source,target
crooked.com,votesaveamerica.com
crooked.com,art19.com
crooked.com,promocodeportal.com
crooked.com,mediamatters.org
crooked.com,actblue.com
deepleftfield.info,politicalflare.com
deepleftfield.info,bluedotdaily.com
antifascistnews.net,angrywhitemen.org
antifascistnews.net,itsgoingdown.org
antifascistnews.net,torchantifa.org
antifascistnews.net,rosecityantifa.org
antifascistnews.net,therightstuff.biz
cnn.com,nytimes.com
cnn.com,cnbc.com
cnn.com,washingtonpost.com
cnn.com,businessinsider.com
cnn.com,forbes.com
allthatsfab.com,zygdesigner.com
allthatsfab.com,disenfranchisedfather.blogspot.com
allthatsfab.com,hugojapan.wordpress.com
allthatsfab.com,fallbrook247.com
allthatsfab.com,allthatsnews.com
dailykos.com,rawstory.com
dailykos.com,talkingpointsmemo.com
dailykos.com,actblue.com
dailykos.com,mediaite.com
dailykos.com,msnbc.com
deepstatenation.com,deepstatenation.news
crooksandliars.com,rawstory.com
crooksandliars.com,mediaite.com
crooksandliars.com,alternet.org
crooksandliars.com,dailykos.com
crooksandliars.com,talkingpointsmemo.com
autostraddle.com,afterellen.com
autostraddle.com,pride.com
autostraddle.com,them.us
autostraddle.com,pinknews.co.uk
autostraddle.com,gomag.com
codepink.org,whiteaccomplices.org
codepink.org,indigenousaction.org
codepink.org,codepinkarchive.org
codepink.org,efniks.com
codepink.org,racialjusticeallies.org
bluedotdaily.com,politicsmaven.io
bluedotdaily.com,thesternfacts.com
bluedotdaily.com,palmerreport.com
bluedotdaily.com,lastmenandovermen.com
bluedotdaily.com,washingtondailywire.com
alternet.org,rawstory.com
alternet.org,dailykos.com
alternet.org,politicususa.com
alternet.org,crooksandliars.com
alternet.org,commondreams.org
mirror.co.uk,thesun.co.uk
mirror.co.uk,dailymail.co.uk
mirror.co.uk,metro.co.uk
mirror.co.uk,express.co.uk
mirror.co.uk,dailystar.co.uk
democracychronicles.org,justicepartyusa.org
democracychronicles.org,electorama.com
democracychronicles.org,phillywardleaders.com
democracychronicles.org,modernballots.com
democracychronicles.org,phila3-0.org
currentaffairs.org,jacobinmag.com
