node,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
hvmplaylist.com,3840568.0,5.0,,2.0,
rbltracker.com,732169.0,3.0,194.0,2.0,0.333
walmart-truth.blogspot.com,,,,3.0,
bollier.org,5255314.0,1.0,,223.0,
mind-trek.com,,,,106.0,
alternativeright.blog,,,,1.0,
beesball.com,2569438.0,2.0,,14.0,
iedunote.com,46048.0,1.2,124.0,75.0,0.858
tricitiesbusinessnews.com,812386.0,1.4,44.0,39.0,0.684
cspipublishing.com,,,,132.0,
alisonchabloz.wordpress.com,,,,2.0,
panama-guide.com,,,,230.0,
pogo.org,383535.0,1.5,185.0,947.0,0.807
112.international,275099.0,1.2,114.0,182.0,0.774
off2colombia.com,,,,65.0,
daytimeemmyawards.de,,,,6.0,
healthwatchtameside.co.uk,,,,1.0,
thompsontee.com,165599.0,1.7,136.0,65.0,0.632
a2news.com,134195.0,2.1,155.0,73.0,0.573
niagara.ny.us,,,,9.0,
dprogram.net,10011033.0,1.0,,489.0,
fbstatuses123.com,1822668.0,4.0,382.0,13.0,
iandrinstitute.org,,,,205.0,
panda.org,38519.0,1.8,141.0,7981.0,0.7190000000000001
pinkhattech.com,3085495.0,1.0,,2.0,
districtyachtclub.org,,,,5.0,
huffingtonpost.ca,12305.0,1.41,136.0,9454.0,0.7879999999999999
twomeytravel.com,,,,4.0,
companion.ua,404757.0,1.0,118.0,468.0,0.904
saveourtappanzee.org,,,,1.0,
cerist.dz,14092.0,4.48,326.0,425.0,0.338
umacathletics.com,,,,61.0,
robhoey127.blogspot.com,4026235.0,1.0,,5.0,
constitutionparty.com,1745052.0,2.0,414.0,533.0,0.4
on-this-day.com,198806.0,1.5,104.0,376.0,0.763
authenticharmony.com,,,,1.0,
gendermom.wordpress.com,5180765.0,2.0,,7.0,
antipaedo.wordpress.com,,,,1.0,
jewishcontentnetwork.com,449085.0,1.8,57.0,67.0,0.746
baidu.com,6.0,4.48,532.0,136376.0,0.13
kg-to-lbs.com,725980.0,1.0,118.0,47.0,0.871
votespa.com,119082.0,1.4,70.0,340.0,0.68
lmrpcc.org.au,,,,10.0,
wiley.com,667.0,2.17,151.0,55981.0,0.584
conservativebookclub.com,1232567.0,3.0,51.0,181.0,
sooperarticles.com,35276.0,4.0,336.0,2694.0,0.274
ccfe.ac.uk,,,,164.0,
youtek.net,,,,,
nga.org,196024.0,1.5,124.0,1396.0,0.723
nelsonk8math.com,7437380.0,1.0,,4.0,
uppingtheanti.org,,,,299.0,
battlefieldbuzz.com,,,,2.0,
cod.rs,,,,16.0,
usagm.gov,451955.0,2.0,182.0,44.0,0.465
publicknowledge.org,1006020.0,1.0,73.0,922.0,0.95
lfnexus.com,,,,16.0,
mybluewave.com,4395445.0,2.0,,4.0,
kccctv.net,,,,3.0,
trybus.com,6991776.0,1.0,,8.0,
mashable.com,1778.0,1.56,120.0,38951.0,0.6679999999999999
greffex.com,5470251.0,1.0,,7.0,
gr8erdays.com,2181708.0,1.0,,16.0,
beaconcenterresidences.com,4882706.0,2.0,,4.0,
foreignpolicy.com,7911.0,1.35,125.0,14740.0,0.6970000000000001
alquds.co.uk,3961.0,2.1,266.0,3128.0,0.517
global-china-sourcing.com,3410250.0,1.0,,3.0,
platinumpebble.com,3976951.0,1.0,,21.0,
la-networks.com,,,,6.0,
davidbrayamps.com,,,,7.0,
texemarrs.com,1880591.0,1.0,,713.0,
purevolume.com,89160.0,1.5,71.0,20133.0,0.38
mpp.org,169389.0,1.8,158.0,821.0,0.5529999999999999
obamadiary.wordpress.com,,,,5.0,
werally.com,23700.0,7.2,289.0,74.0,0.235
usgovernmentquiz.com,2603262.0,1.0,,9.0,
iwflsports.com,,,,73.0,
bbtcreditcardconnection.com,,,,10.0,
historyandmystery.homestead.com,,,,8.0,
wingsover.com,363182.0,2.8,74.0,107.0,0.106
fullscreen.net,234053.0,3.8,103.0,200.0,0.29100000000000004
facing-finance.org,2636301.0,1.0,,56.0,
star1021fm.com,964400.0,1.0,,49.0,
oceansur.com,5621550.0,1.0,,83.0,
aviation-history.com,881192.0,1.0,145.0,692.0,1.0
okagcredit.com,4820457.0,2.0,,14.0,
lords-prayer-words.com,526547.0,1.3,127.0,189.0,0.78
alzheimers.org.uk,213444.0,1.5,117.0,1340.0,0.8029999999999999
lifebookultimate.com,,,,2.0,
jackson.mi.us,1693731.0,2.0,75.0,167.0,
usc.edu,3190.0,4.21,250.0,28323.0,0.429
en.mercopress.com,280079.0,1.2,103.0,1517.0,0.835
iza.org,96259.0,1.3,105.0,2106.0,0.858
qsuper.qld.gov.au,186235.0,4.0,222.0,76.0,0.29600000000000004
tineye.com,4615.0,3.56,164.0,2902.0,0.2
thefacebook.com,89294.0,2.2,141.0,366.0,0.488
vibe.co.ke,,,,1.0,
sneedfuneralchapel.com,,,,5.0,
iiit.org,1068089.0,1.3,147.0,240.0,0.774
lookatthisfuckingcentrist.wordpress.com,,,,5.0,
publicmapping.org,,,,52.0,
5gexpo.net,2977731.0,1.0,,1.0,
arktos.com,1994990.0,2.0,117.0,165.0,
businessreport.com,248909.0,1.5,123.0,333.0,0.618
urbansurvivalsite.com,155498.0,1.5,110.0,242.0,0.7120000000000001
thememorialdaytribute.com,5042066.0,1.0,,21.0,
integrityfcu.org,4447202.0,6.0,,6.0,
efficiencyresource.org,,,,8.0,
woodindustryed.org,7142947.0,3.0,,4.0,
companysearchesmadesimple.com,241051.0,1.8,85.0,95.0,0.706
lbds.info,,,,149.0,
bondsloans.com,2432429.0,1.0,,28.0,
egs.edu,1004445.0,2.0,155.0,1262.0,0.684
cfinst.org,,,,177.0,
psychedelicsdaily.com,1945788.0,3.0,94.0,2.0,
personalblimp.com,,,,42.0,
anniemachon.ch,,,,54.0,
off.net.mk,53788.0,3.0,255.0,167.0,0.526
killerspinhouse.com,,,,26.0,
sheddingoftheego.com,1612013.0,20.0,1295.0,28.0,
peoplemakeglasgow.com,1472318.0,1.0,,115.0,
therepublicrevealed.com,,,,2.0,
followthesisters.com,5344188.0,2.0,,31.0,
drlaura.com,1051503.0,2.0,54.0,361.0,0.615
boonecountydems.org,,,,5.0,
chrisriedy.me,,,,13.0,
williscarrier.com,,,,62.0,
reverseimagesearch.com,355365.0,1.0,69.0,76.0,0.895
groton-ct.gov,890790.0,2.0,155.0,234.0,0.28600000000000003
studentnewsdaily.com,238134.0,1.6,151.0,338.0,0.677
maganews.net,,,,1.0,
skepticreview.com,,,,6.0,
dalaz.com.br,,,,4.0,
artstation.com,1067.0,5.25,311.0,1163.0,0.425
