node_id,node,label,alexa_rank,daily_pageviews_per_visitor,daily_time_on_site,total_sites_linking_in,bounce_rate
0,hvmplaylist.com,3,3840568.0,5.0,159.26666666666665,2.0,0.7141000000000001
1,rbltracker.com,3,732169.0,3.0,194.0,2.0,0.333
2,walmart-truth.blogspot.com,3,1117557.0,1.0,86.0,3.0,0.615
3,bollier.org,3,5255314.0,1.0,114.6,223.0,0.7261000000000001
4,mind-trek.com,3,647465.2,3.0599999999999996,134.4,106.0,0.5464
5,alternativeright.blog,3,3816459.25,1.45,187.5,1.0,0.5565
6,beesball.com,3,2569438.0,2.0,123.06666666666665,14.0,0.6122666666666666
7,iedunote.com,3,46048.0,1.2,124.0,75.0,0.858
8,tricitiesbusinessnews.com,3,812386.0,1.4,44.0,39.0,0.684
9,cspipublishing.com,3,2504813.0,2.0,316.0,132.0,0.657
10,alisonchabloz.wordpress.com,3,5954959.0,1.0,116.5,2.0,0.7431
11,panama-guide.com,3,1162054.0,1.58,103.0,230.0,0.5396
12,pogo.org,2,383535.0,1.5,185.0,947.0,0.807
13,112.international,3,275099.0,1.2,114.0,182.0,0.774
14,off2colombia.com,3,144852.0,1.6,136.0,65.0,0.676
15,daytimeemmyawards.de,3,7901757.0,1.0,137.0,6.0,0.5746
16,healthwatchtameside.co.uk,3,4971638.0,1.6,135.5,1.0,0.7586
17,thompsontee.com,3,165599.0,1.7,136.0,65.0,0.632
18,a2news.com,3,134195.0,2.1,155.0,73.0,0.573
19,niagara.ny.us,3,1210081.0,3.0,170.0,9.0,0.4
20,dprogram.net,3,10011033.0,1.0,123.0,489.0,0.513
21,fbstatuses123.com,3,1822668.0,4.0,382.0,13.0,0.75
22,iandrinstitute.org,3,5857966.0,1.0,136.0,205.0,0.66335
23,panda.org,3,38519.0,1.8,141.0,7981.0,0.719
24,pinkhattech.com,3,3085495.0,1.0,77.33333333333333,2.0,0.515
25,districtyachtclub.org,3,4442262.75,2.8600000000000003,208.8,5.0,0.4943000000000001
26,huffingtonpost.ca,3,12305.0,1.41,136.0,9454.0,0.788
27,twomeytravel.com,3,1581013.0,1.0,185.66666666666666,4.0,0.65395
28,companion.ua,3,404757.0,1.0,118.0,468.0,0.904
29,saveourtappanzee.org,3,3588451.0,3.0,163.9,1.0,0.799
