node,label
crooked.com,2
deepleftfield.info,1
antifascistnews.net,2
cnn.com,1
allthatsfab.com,1
dailykos.com,1
deepstatenation.com,1
crooksandliars.com,1
autostraddle.com,2
codepink.org,1
bluedotdaily.com,1
alternet.org,1
mirror.co.uk,1
democracychronicles.org,2
currentaffairs.org,2
bluenationreview.com,1
commondreams.org,2
aidc.org.za,2
addictinginfo.com,1
democracyguardian.com,1
americanprogress.org,2
citypaper.com,1
curvemag.com,2
bluestatedaily.com,1
dailyrecord.co.uk,1
advocate.com,2
americablog.com,2
democracynow.org,2
prwatch.org,2
boingboing.net,2
daily49er.com,2
cosmopolitan.com,2
ebar.com,2
dallasvoice.com,2
dissentmagazine.org,2
democraticunderground.com,1
americanbridgepac.org,1
countercurrents.org,2
thedailybeast.com,2
deadspin.com,2
afj.org,2
desmogblog.com,2
change.org,2
drudge.com,1
bitchmedia.org,2
deadstate.org,2
elitedaily.com,1
au.org,2
counterpunch.org,2
chicagoreader.com,2
blackagendareport.com,2
angrywhitemen.org,2
esquire.com,2
earthfirstjournal.org,1
filmingcops.com,2
crimethinc.com,2
everydayfeminism.com,2
firstpost.com,2
greenleft.org.au,1
citizencritics.org,2
gizmodo.com,2
marxist.com,2
bust.com,2
egbertowillies.com,2
evonomics.com,2
foreignpolicyjournal.com,1
iowastartingline.com,2
greenvillegazette.com,2
leftfootforward.org,2
ir.net,1
extranewsfeed.com,1
foreignpolicynews.org,1
canadiandimension.com,2
itsgoingdown.org,1
globalvoices.org,2
electoral-vote.com,2
leftoverrights.com,1
inequalitymedia.org,2
feministcurrent.com,2
liberalamerica.org,1
jacobinmag.com,2
electronicintifada.net,2
guardianlv.com,2
juancole.com,2
dailydot.com,2
liberalexaminer.com,1
jezebel.com,1
good.is,2
freepress.org,2
theguardiansofdemocracy.com,2
feministing.com,2
ips-dc.org,2
samuel-warde.com,1
mediaite.com,2
frnewsreport.com,2
leftvoice.org,2
fifthestate.org,2
mondoweiss.net,2
liberationnews.org,2
lavendermagazine.com,2
freedomnews.org.uk,2
moonofalabama.org,1
mediamatters.org,2
huffingtonpost.com,2
gq.com,2
newint.org,2
littlegreenfootballs.com,1
inthesetimes.com,2
hrc.org,2
lgbtqnation.com,2
motherjones.com,2
bradford-delong.com,2
meduza.io,2
newpol.org,2
pinknews.co.uk,2
newsweek.com,1
progressiveliberal.net,1
front.moveon.org,1
libcom.org,2
newrepublic.com,2
merryjane.com,2
politicaldig.com,1
north99.org,2
mashable.com,2
msmagazine.com,2
palmerreport.com,1
miaminewtimes.com,2
resilience.org,1
projectcensored.org,2
rawstory.com,1
meanlefthook.com,1
msnbc.com,1
newstatesman.com,2
pastemagazine.com,2
proudemocrat.com,1
middleeastmonitor.com,1
nowtoronto.com,2
readingthepictures.org,2
salon.com,2
rewire.news,2
politicususa.com,2
nymag.com,2
readersupportednews.org,1
peacock-panache.com,2
scarymommy.com,2
modernliberals.com,1
revcom.us,1
popularresistance.org,1
newyorker.com,2
pfaw.org,2
queerty.com,2
redpepper.org.uk,2
molad.org,2
onegreenplanet.org,1
reverbpress.news,2
shadowproof.com,2
people.com,2
sourcewatch.org,2
opednews.com,1
rabble.ca,2
shareblue.com,1
pravdareport.com,1
americanindependent.com,2
newshounds.us,1
photographyisnotacrime.com,2
rantt.com,2
slate.com,2
pressprogress.ca,2
splinternews.com,1
the-daily.buzz,2
smirkingchimp.com,2
redyouth.org,1
rappler.com,1
prospect.org,2
rightwingwatch.org,1
nationofchange.org,1
progressivearmy.com,2
republicanssucks.org,1
worldsocialism.org,2
thedailyvox.co.za,2
nationalmemo.com,2
austinchronicle.com,2
trofire.com,2
