node,label
villagevoice.com,0
insideclimatenews.org,1
fury.news,2
now8news.com,1
constitution.com,2
freebeacon.com,2
brexitcentral.com,2
foreignpolicynews.org,0
patriotpost.us,2
loser.com,0
empiresports.co,1
emirates247.com,1
samuel-warde.com,0
trueactivist.com,0
popularresistance.org,0
thebeaverton.com,1
nationalreport.net,1
politicalmayhem.news,2
itv.com,1
breitbart.com,2
forwardprogressives.com,0
triggerreset.net,2
theatlantic.com,1
dcclothesline.com,2
liberaldarkness.com,1
leftoverrights.com,0
inthesetimes.com,0
tampabay.com,1
france24-tv.com,2
freewestmedia.com,2
theguardiansofdemocracy.com,0
darientimes.com,1
conservativeoutfitters.com,2
republicworld.com,1
timesheadline.com,1
amazingnews.net,2
thestar.com,1
aceflashman.wordpress.com,1
hoax-slayer.com,1
home.nra.org,2
americanbridgepac.org,0
orlandosentinel.com,1
voanews.com,1
newsandstoriesfromusa.com,2
offendedamerica.com,2
calgarysun.com,1
southafricatoday.net,2
blackpigeonspeaks.com,2
churchmilitant.com,2
liberalamerica.org,0
newscientist.com,1
theskimm.com,1
iowastartingline.com,0
deepleftfield.info,0
burrardstreetjournal.com,1
who.int,1
propublica.org,1
yellowhammernews.com,2
news.groopspeak.com,0
fairvote.org,1
intellectualtakeout.org,2
conservativefighters.com,2
oilprice.com,1
the-american-interest.com,1
gawken.com,1
bigleaguepolitics.com,2
azcentral.com,1
leftsideofhistory.com,0
reagancoalition.com,2
monthlyreview.org,1
newswars.com,2
progressive.org,0
oathkeepers.org,2
anthropocenemagazine.org,1
atlbanana.com,1
salon.com,0
bluestemprairie.com,1
brokenworldnews.com,1
atimes.com,1
patriotfires.com,2
allgov.com,1
thegoldwater.com,2
lynx.media,1
resistancereport.com,0
democraticreview.com,0
medicaldaily.com,1
americannewsx.com,0
ibtimes.com,1
japantimes.co.jp,1
chicksontheright.com,2
foreignpolicyjournal.com,0
quantamagazine.org,1
buzzfeed.com,1
harvardpolitics.com,1
newsuptoday.com,2
sciencetrends.com,1
viralcords.com,1
climatecentral.org,1
siouxcityjournal.com,1
commentarymagazine.com,2
themaven.net,0
cpj.org,1
adelaidenow.com.au,2
epi.org,1
atlanticmedia.com,1
bangkokpost.com,1
bigamericannews.com,1
psypost.org,1
beliefnet.com,2
placesjournal.org,1
politicalgarbagechute.com,1
rewire.news,0
defconwarningsystem.com,1
pnas.org,1
truthexaminer.com,0
aljazeera.com,1
milo.yiannopoulos.net,2
magicvalley.com,1
skeptic.com,1
marketwatch.com,1
abriluno.com,1
detroitnews.com,1
thechronicleherald.ca,1
theduran.com,2
teaparty.org,2
frc.org,2
stocksnewsdaily.com,1
retractionwatch.com,1
uawire.org,1
photographyisnotacrime.com,0
babylonbee.com,1
polygraph.info,1
conservativebyte.com,2
fas.org,1
al-monitor.com,1
secondnexus.com,1
nwitimes.com,1
morningstaronline.co.uk,0
climaterealityproject.org,0
theproudliberal.org,0
nccivitas.org,2
vox.com,0
freedumjunkshun.com,1
aol.com,1
lgbtqnation.com,0
beaware.one,2
liberalsociety.com,0
taxpayer.com,1
santamariatimes.com,1
jamestown.org,1
bluntforcetruth.com,2
independent.co.uk,1
desmogblog.com,0
niskanencenter.org,1
scientificamerican.com,1
greenleft.org.au,0
texasmonthly.com,1
pravdareport.com,0
hindustantimes.com,1
peninsuladailynews.com,1
mirror.co.uk,0
americablog.com,0
bb4sp.com,2
firstinfreedomdaily.com,2
fresnobee.com,1
americanpatriotdaily.com,2
helsinkitimes.fi,1
tribunemagazine.org,0
dailywire.com,2
bismarcktribune.com,1
researchantisemitism.ca,2
occupydemocrats.com,0
thedailyvox.co.za,0
newbernsj.com,1
verafiles.org,1
afa.net,2
freedomcrossroads.com,2
noozhawk.com,1
dailydems.com,0
crisismagazine.com,2
thenewsliteracyproject.org,1
wral.com,1
thesternfacts.com,0
truthinmedia.com,2
kff.org,1
rightwingnews.com,2
mediashift.org,1
thebalance.com,1
christianpost.com,2
pogo.org,1
newswithviews.com,2
metro.co.uk,1
thepublicdiscourse.com,2
ocregister.com,1
taxjustice.net,1
theguardian.com,1
dailyprogress.com,1
libcom.org,0
zeit.de,1
statesmanjournal.com,1
renewamerica.com,2
eurasiagroup.net,1
shtfplan.com,2
weeklystandard.com,2
joeforamerica.com,2
greentechmedia.com,1
news.cgtn.com,1
opendemocracy.net,1
breakingdefense.com,1
newsbreakshere.com,2
egyptianstreets.com,1
70news.wordpress.com,2
poynter.org,1
addictinginfo.org,0
surenews.com,2
janes.com,1
nova-magazine.net,0
thewest.com.au,1
usaconservativereport.com,2
express.co.uk,2
postbulletin.com,1
oilandwaterdontmix.org,1
iwf.org,2
newmoderate.com,1
ips-dc.org,0
heritage.org,2
americanheritage.com,1
westmonster.com,1
phnompenhpost.com,1
fair.org,1
redice.tv,2
timesofisrael.com,1
newsmax.com,2
rstreet.org,1
thepostemail.com,2
swedishwire.com,1
diversityinc.com,1
pilotonline.com,1
stopfake.org,1
almasdarnews.com,1
pgpf.org,1
realnewsrightnow.com,1
progresstribune.com,0
rightweb.irc-online.org,1
providencejournal.com,1
jewishbreakingnews.com,1
truth-out.org,0
ffrf.org,1
vermontindependent.org,0
rapidcityjournal.com,1
theonion.com,1
demos.org,1
ledevoir.com,1
auburnpub.com,1
quadrant.org.au,2
patribotics.blog,2
mbganews.com,2
politifeed.net,2
bloomberg.com,1
itsgoingdown.org,0
republicanssucks.org,0
bipartisanpolicy.org,1
antifascistnews.net,0
kentucky.com,1
dailysignal.com,2
courier-journal.com,1
vancouversun.com,1
timescolonist.com,1
techxplore.com,1
dailyrecord.com,1
vivaliberty.com,2
newsite.thehindu.com,1
scotusblog.com,1
dailynews.com,1
hcn.org,1
680news.com,1
jezebel.com,0
takepart.com,0
nautil.us,1
triblive.com,1
crimeresearch.org,2
theoslotimes.com,1
euronews.com,1
pennlive.com,1
toprightnews.com,2
newsobserver.com,1
altoday.com,1
humanprogress.org,1
conservativemedia.com,2
newsbiscuit.com,1
news24.com,1
chicagotribune.com,1
thelondoneconomic.com,0
ebar.com,0
consmovement.com,2
youngcons.com,2
reverbpress.com,0
therebel.media,2
inquirer.net,1
thelapine.ca,1
newpol.org,0
economist.com,1
newrepublic.com,0
lifesitenews.com,2
nextbigfuture.com,1
politifact.com,1
tennesseestar.com,2
pluralist.com,1
sbgi.net,2
thefloridasqueeze.com,0
countercurrents.org,0
newmatilda.com,1
theverge.com,1
loonwatch.com,0
dawn.com,1
everydayfeminism.com,0
weforum.org,1
thereligionofpeace.com,2
voiceofeurope.com,2
aclu.org,1
legalinsurrection.com,2
poststar.com,1
eff.org,1
nationalcenter.org,2
bluenationreview.com,0
realclearpolitics.com,1
thebaffler.com,1
presstv.com,1
hoggwatch.com,2
lethbridgeherald.com,1
valleynewslive.com,1
highline.huffingtonpost.com,1
crosscut.com,1
yesimright.com,2
vidmax.com,2
world.wng.org,2
thecipherbrief.com,1
codepink.org,0
leftscoop.com,0
sltrib.com,1
ipatriot.com,2
news-gazette.com,1
studionewsnetwork.com,2
mcall.com,1
conservativetribune.com,2
dailysabah.com,2
oneindia.com,1
newsthump.com,1
bullshitnews.org,1
ncse.com,1
renewedright.com,2
transparency.org,1
adaa.org,1
alternet.org,0
puppetstringnews.com,2
calwatchdog.com,1
sfchronicle.com,1
progressivestoday.com,2
projectcensored.org,0
billmoyers.com,1
fastcompany.com,1
dailysquib.co.uk,1
citypaper.com,0
jihadwatch.org,2
thepeoplestruth.com,2
financialexpress.com,1
conservativedailypost.com,2
smirkingchimp.com,0
pacificresearch.org,1
truthbetold.news,1
thepeoplescube.com,1
patrioticviralnews.com,2
thenewcivilrightsmovement.com,0
bipartisanreport.com,0
viralthread.com,1
concernedwomen.org,2
thehardtimes.net,1
trib.com,1
ntknetwork.com,2
thatsnonsense.com,1
denverpost.com,1
telesurtv.net,0
metro.us,1
npr.org,1
judicialnetwork.com,2
dailykos.com,0
speisa.com,2
montrealgazette.com,1
thequint.com,1
outlook.monmouth.edu,1
aclj.org,2
elpais.com,1
tytnetwork.com,0
geneticliteracyproject.org,1
nowthisnews.com,0
againstcronycapitalism.org,2
gotnews.com,2
other98.com,0
thinkprogress.org,0
personalliberty.com,2
star-telegram.com,1
trumpservativenews.info,2
viraldevil.com,1
votevets.org,1
bizpacreview.com,2
usatoday.com,1
thehornnews.com,2
colombiareports.com,1
focusonthefamily.com,2
heavy.com,1
rightalerts.com,2
allthatsfab.com,0
globetoday.com,0
fortnightlyreview.co.uk,1
prospect.org,0
fairus.org,2
judicialwatch.org,2
sfgate.com,1
businessinsider.com,1
deepstatenation.com,0
ir.net,0
elitedaily.com,0
chroniclesofdemocracy.com,0
mtstandard.com,1
esquire.com,0
takimag.com,2
squawker.org,2
americanewshub.com,2
morningconsult.com,1
carbonated.tv,0
pmnightlynews.com,2
gopusa.com,2
icij.org,1
9news.com.au,1
newint.org,0
inquisitr.com,1
fwweekly.com,1
consumerreports.org,1
trueviralnews.com,1
politicalsitenews.com,2
dailymail.co.uk,2
techcrunch.com,1
recode.net,1
stepfeed.com,1
thefiscaltimes.com,1
conservativetoday.com,2
pri.org,1
syriana-analysis.com,0
jordantimes.com,1
opednews.com,0
lohud.com,1
cato.org,1
clickhole.com,1
grist.org,1
wnd.com,2
breitbartunmasked.com,0
geologyin.com,1
progressiveliberal.net,0
amren.com,2
act.tv,0
wionews.com,1
baltimoresun.com,1
adflegal.org,2
guns.com,1
getreligion.org,2
webmd.com,1
chroniclesmagazine.org,2
alec.org,2
nzherald.co.nz,1
thewalrus.ca,0
canadafreepress.com,2
rantt.com,0
americansforprosperity.org,2
medicalxpress.com,1
jpost.com,1
courthousenews.com,1
chicagoreporter.com,1
aei.org,2
seattlepi.com,1
thehill.com,1
10news.one,2
tmn.today,2
international.thenewslens.com,1
oaoa.com,1
littlegreenfootballs.com,0
acpeds.org,2
o4anews.com,2
euobserver.com,1
washingtontimes.com,1
therightstuff.biz,2
understandrealitythroughscience.blogspot.com,1
tribunist.com,2
worldnewsdailyreport.com,1
economyincrisis.org,0
realtimepolitics.com,0
en-volve.com,2
timesofindia.indiatimes.com,1
memeorandum.com,1
dailypresser.com,2
indiatoday.intoday.in,1
fairobserver.com,1
japantoday.com,1
thesaturdaypaper.com.au,1
hillarybeattrump.org,1
therightscoop.com,2
vdare.com,2
dailyworldinformation.com,2
freedomsfinalstand.com,2
hrw.org,1
stubhillnews.com,1
exposinggovernment.com,2
sun-sentinel.com,1
tucson.com,1
castanet.net,1
londonwebnews.com,0
thewhim.com,1
newstatesman.com,0
policyed.org,1
wsj.com,1
ff.org,2
thetruthdivision.com,2
humanevents.com,2
newromantimes.com,1
gulfnews.com,1
budapestbeacon.com,1
libertyunyielding.com,2
chinadaily.com.cn,1
migrationpolicy.org,1
governing.com,1
speakgov.com,2
ladylibertysnews.com,2
foxnews.com,2
verywell.com,1
newsheist.com,1
sungazette.com,1
euractiv.com,1
crooksandliars.com,0
leadstories.com,1
shareblue.com,0
deadspin.com,0
universitybusiness.com,1
conservativepost.com,2
clarionproject.org,2
napavalleyregister.com,1
heartland.org,2
sojo.net,1
callthecops.net,1
truthuncensored.net,2
popularmechanics.com,1
capoliticalreview.com,1
truthdig.com,0
adobochronicles.com,1
timeslive.co.za,1
thehayride.com,2
toinformistoinfluence.com,1
herald-review.com,1
glamour.com,1
insidehighered.com,1
ozy.com,1
dailyworldupdate.us,1
tdn.com,1
skyandtelescope.com,1
frankmag.ca,1
ire.org,1
thedailybeast.com,0
carolinapublicpress.org,1
progressivearmy.com,0
democraticmoms.com,0
themoderatevoice.com,1
mnn.com,1
rockcitytimes.com,1
en.bbarta24.net,1
irena.org,1
advocate.com,0
biggovernment.news,2
qpolitical.com,2
truthrevolt.org,2
bettergov.org,1
americanmilitarynews.com,2
acculturated.com,2
freedomoutpost.com,2
theknifemedia.com,1
reviewjournal.com,1
wonkette.com,0
thegatewaypundit.com,2
fpri.org,1
madworldnews.com,2
conservativefiringline.com,2
politicops.com,1
derfmagazine.com,1
currentaffairs.org,0
defiantamerica.com,2
rollcall.com,1
teddystick.com,2
sandiegofreepress.org,1
therealnews.com,1
nationofchange.org,0
ricochet.com,2
citizen-times.com,1
waterfordwhispersnews.com,1
aim.org,2
upi.com,1
thevarsity.ca,1
thetab.com,1
shareably.net,1
saudigazette.com.sa,1
opposingviews.com,1
listverse.com,1
theaustralian.com.au,1
oregonlive.com,1
washingtonpress.com,0
news.abs-cbn.com,1
hangthebankers.com,2
nationalnewswatch.com,1
duhprogressive.com,1
dutchreview.com,1
healthline.com,1
watchdog.org,1
spectator.org,2
alaraby.co.uk,1
journalstar.com,1
this.org,0
ced.org,1
rfa.org,1
filmingcops.com,0
stonecoldtruth.com,2
spiked-online.com,2
meanlefthook.com,0
dcwhispers.com,2
plymouthpatriotpost.com,2
extranewsfeed.com,0
dailycaller.com,2
bitchmedia.org,0
colddeadhands.us,2
campaignforliberty.org,1
remnantnewspaper.com,2
guardianlv.com,0
unclesamsmisguidedchildren.com,2
thewrap.com,1
cnn.com,0
ageofshitlords.com,2
undergroundjournalist.org,0
viraltitle.com,0
courant.com,1
nottnews.com,1
lifezette.com,2
restoreamericanglory.com,2
mises.org,1
newsy.com,1
circa.com,1
pantagraph.com,1
liberalmountain.com,1
jointcenter.org,1
journalnow.com,1
cityandstateny.com,1
teapartypatriots.org,2
historynewsnetwork.org,1
defund.com,2
people.com,0
oann.com,2
zcomm.org,0
theblacksphere.net,2
stocknewsusa.com,1
cctv-america.com,1
hoover.org,1
learnliberty.org,1
freepress.net,1
ciponline.org,1
ifyouonlynews.com,0
thenews.com.pk,1
wikitribune.com,1
earthmagazine.org,1
news.trust.org,1
libertynation.com,2
eagletribune.com,1
russia-insider.com,1
alphanewsmn.com,2
nola.com,1
alhayat.com,1
roanoke.com,1
louderwithcrowder.com,2
theodysseyonline.com,1
whowhatwhy.org,0
twincities.com,1
politico.com,1
knightstemplarinternational.com,2
chronicle.su,1
columbiadailyherald.com,1
americanlookout.com,2
investors.com,1
cnsnews.com,2
thetimesherald.com,1
ipolitics.ca,1
religionnews.com,1
politicslive.net,2
marxist.com,0
interpretermag.com,1
unwatch.org,2
townhall.com,2
pjmedia.com,2
baptistnews.com,1
duffelblog.com,1
usadosenews.com,2
omaha.com,1
economictimes.indiatimes.com,1
ndtv.com,1
lifehacker.com,1
mlive.com,1
nationalmemo.com,0
projectveritas.com,2
taxfoundation.org,1
govexec.com,1
insidephilanthropy.com,1
thejakartapost.com,1
conservative101.com,2
allnewspipeline.com,2
washingtonexaminer.com,1
seattletimes.com,1
amgreatness.com,1
ibleedredwhiteblue.com,2
sonsoflibertymedia.com,2
cbsnews.com,1
afr.com,1
chicago.suntimes.com,1
couriermail.com.au,1
globalnews.ca,1
americanprogress.org,0
nationalvanguard.org,2
theamericanconservative.com,1
eaglerising.com,2
erlc.com,2
defendevropa.org,2
yesmagazine.org,0
stimson.org,1
peacock-panache.com,0
host.madison.com,1
upr.org,1
uproxx.com,0
sputniknews.com,1
wn.com,1
modernliberals.com,0
earthfirstjournal.org,0
libertyheadlines.com,2
freetelegraph.com,2
dandygoat.com,1
conservapedia.com,2
strategic-culture.org,1
resourcegovernance.org,1
theamericanmirror.com,2
jacobinmag.com,0
ruthinstitute.org,2
proudemocrat.com,0
fmobserver.com,1
betootaadvocate.com,1
dailyrecord.co.uk,0
discovermagazine.com,1
talkingpointsmemo.com,0
birminghammail.co.uk,1
americanconsequences.com,2
sonorannews.com,2
mentalfloss.com,1
thefifthcolumnnews.com,1
informationliberation.com,2
dcreport.org,1
autostraddle.com,0
jns.org,1
wgntv.com,1
bearingarms.com,2
americantruthseekers.com,2
themillenniumreport.com,2
knoxreport.com,2
huzlers.com,1
mediaequalizer.com,2
thecanary.co,0
westernjournalism.com,2
workers.org,0
globalintegrity.org,1
harddawn.com,1
fedsoc.org,2
politichicks.com,2
nextavenue.org,1
rappler.com,0
oppositionreport.com,0
ejinsight.com,1
factbox.tv,1
avoiceformen.com,2
christwire.org,1
futureinamerica.com,2
newcenturytimes.com,0
chaser.com.au,1
financialpost.com,1
libertyhangout.org,2
newsday.com,1
psychologytoday.com,1
consortiumnews.com,1
usainfront.com,2
conservativehq.com,2
rinf.com,2
conservativedailynews.com,2
capitalresearch.org,2
infogalactic.com,2
news.err.ee,1
opslens.com,2
vote.us.org,0
newsnow.co.uk,1
magapill.com,2
themilitant.com,0
indymedia.org,1
readersupportednews.org,0
redstate.com,2
democratherald.com,1
deccanherald.com,1
cowgernation.com,2
hillarydaily.com,2
freemedia.at,1
beinglibertarian.com,2
frontpagemag.com,2
americanindependent.com,0
curvemag.com,0
ahtribune.com,1
nber.org,1
faithfamilyamerica.com,1
centerforinquiry.net,1
bjreview.com,1
tnonline.com,1
elpasotimes.com,1
algemeiner.com,1
calgaryherald.com,1
feministfrequency.com,1
viralliberty.com,2
dailysnark.com,1
eng.majalla.com,1
freedomhouse.org,1
newsblaze.com,2
votesmart.org,1
theintercept.com,1
evonomics.com,0
thenationalpatriot.com,2
torontosun.com,2
theunrealtimes.com,1
staresattheworld.com,2
youthradio.org,1
bluetribune.com,0
notallowedto.com,1
worldpress.org,1
azdailysun.com,1
newbostonpost.com,2
thedcgazette.com,2
barenakedislam.com,2
twitchy.com,2
lbc.co.uk,1
thenewamerican.com,2
rawstory.com,0
freakoutnation.com,0
smithsonianmag.com,1
unionleader.com,2
steadfastandloyal.com,2
theresurgent.com,2
cnntimes.online,0
independentsentinel.com,2
100percentfedup.com,2
bullshido.net,1
tfp.org,2
lifenews.com,2
spiegel.de,1
sciencedirect.com,1
lewrockwell.com,2
gazette.com,1
patheos.com,1
girlsjustwannahaveguns.com,2
newsandgutsmedia.com,1
observeronline.news,1
crfb.org,1
stpete4peace.org,0
feministing.com,0
unz.com,2
globalvoices.org,0
dcstatesman.com,2
thedailyliberator.com,2
nationalreview.com,2
theburningspear.com,0
pacificpundit.com,2
theredshtick.com,1
politicaldig.com,0
memri.org,2
tvw.org,1
dailytarheel.com,1
lexingtoninstitute.org,1
kmov.com,1
nationaleconomicseditorial.com,2
middleeastmonitor.com,0
britannica.com,1
srnnews.com,1
dailytelegraph.com.au,2
foreignaffairs.com,1
cis.org,2
washingtonblade.com,1
canadiandimension.com,0
schmedium.org,1
standard.net,1
change.org,0
democraticunderground.com,0
pastemagazine.com,0
texastribune.org,1
consnation.com,2
ctvnews.ca,1
thewire.in,1
newser.com,1
rep-am.com,1
loveknowledge.org,0
democracynow.org,0
prospectmagazine.co.uk,1
winonadailynews.com,1
abovethelaw.com,1
us.blastingnews.com,1
factcheck.org,1
neweurope.eu,1
thediplomat.com,1
dailysurge.com,2
eastbaytimes.com,1
mediacircus.com,2
defenseone.com,1
electronicintifada.net,0
usasupreme.com,2
thelibertyeagle.com,2
rt.com,1
slate.com,0
conservativebase.com,2
desmoinesregister.com,1
mondoweiss.net,0
newsbusters.org,2
thewashingtonreporter.com,2
theoswatch.com,0
thesun.co.uk,2
antiwar.com,1
missoulian.com,1
cumberlink.com,1
mediazone.news,2
carnegieendowment.org,1
liberalexaminer.com,0
readingthepictures.org,0
corporatepresidency.org,1
imowired.com,2
richmond.com,1
alreporter.com,1
msnbc.com,0
mintpressnews.com,1
news.com.au,1
theshovel.com.au,1
thenewatlantis.com,1
censored.news,2
miamiherald.com,1
frontiersin.org,1
outabouter.com,1
ifamericaknew.org,1
the-daily-news.co.uk,1
malaysia-today.net,1
drudgereport.com,2
insidesources.com,1
texasstandard.org,1
thenewtropic.com,1
bigthink.com,1
nydailynews.com,1
scripps.ucsd.edu,1
lavendermagazine.com,0
thecitizenpress.com,2
freewoodpost.com,1
dispatch.com,1
truebluescoop.com,0
carepublican.com,2
fightforthefuture.org,1
drudge.com,0
bluedotdaily.com,0
legitgov.org,1
donaldtrumpnews.co,2
forward.com,1
taipeitimes.com,1
liberalbias.com,1
cbpp.org,1
aeon.co,1
ocweekly.com,1
rochdaleherald.co.uk,1
dailyheadlines.net,2
redalertpolitics.com,2
hopkinsmedicine.org,1
phoenixnewtimes.com,1
citizensunited.org,2
thewashingtonstandard.com,2
splinternews.com,0
christianitytoday.com,1
bizstandardnews.com,1
empirenews.net,1
therantidote.com,2
politicalcritique.org,1
globegazette.com,1
washingtonmonthly.com,0
theautomaticearth.com,1
iea.org,1
theblaze.com,2
bannedinformation.com,2
weaselzippers.us,2
towleroad.com,0
ronpaulinstitute.org,2
space.com,1
boingboing.net,0
ilovemyfreedom.org,2
crimethinc.com,0
constitutionproject.org,1
sayfiereview.com,1
reductress.com,1
gomerblog.com,1
newshounds.us,0
nypost.com,1
indianexpress.com,1
skepticink.com,1
newyorker.com,0
hardnews.network,2
spectrumreport.com,1
airwars.org,1
gallup.com,1
americanthinker.com,2
faithwire.com,2
amny.com,1
onenewsnow.com,2
thefederalistpapers.org,2
koco.com,1
eveningharold.com,1
ihypocrite.net,2
scotsman.com,1
democratichub.com,0
silenceisconsent.net,2
ammoland.com,2
thesciencepost.com,1
thedailymash.co.uk,1
clashdaily.com,2
opensecrets.org,1
usafirstinformation.com,2
patriotupdate.com,2
jewwatch.com,2
democracyguardian.com,0
miaminewtimes.com,0
sentinelksmo.org,2
vice.com,1
news.harvard.edu,1
worldaffairsjournal.org,1
news.sky.com,1
dailycurrant.com,1
pewresearch.org,1
hermancain.com,2
trofire.com,0
numbersusa.com,2
timeline.com,1
sbsun.com,1
latintimes.com,1
allenwestrepublic.com,2
news.mongabay.com,1
fusion.kinja.com,1
aptnnews.ca,1
wsws.org,0
spin.com,0
aina.org,2
