node,label
villagevoice.com,2
insideclimatenews.org,2
fury.news,0
now8news.com,0
constitution.com,0
freebeacon.com,1
brexitcentral.com,1
foreignpolicynews.org,1
patriotpost.us,1
loser.com,0
empiresports.co,0
emirates247.com,2
samuel-warde.com,1
trueactivist.com,0
popularresistance.org,1
thebeaverton.com,0
nationalreport.net,0
politicalmayhem.news,0
itv.com,2
breitbart.com,1
forwardprogressives.com,2
triggerreset.net,0
theatlantic.com,2
dcclothesline.com,0
liberaldarkness.com,0
leftoverrights.com,1
inthesetimes.com,2
tampabay.com,2
france24-tv.com,0
freewestmedia.com,1
theguardiansofdemocracy.com,2
darientimes.com,2
conservativeoutfitters.com,1
republicworld.com,1
timesheadline.com,1
amazingnews.net,0
thestar.com,2
aceflashman.wordpress.com,0
hoax-slayer.com,2
home.nra.org,1
americanbridgepac.org,1
orlandosentinel.com,2
voanews.com,2
newsandstoriesfromusa.com,0
offendedamerica.com,1
calgarysun.com,2
southafricatoday.net,0
blackpigeonspeaks.com,0
churchmilitant.com,1
liberalamerica.org,1
newscientist.com,2
theskimm.com,2
iowastartingline.com,2
deepleftfield.info,1
burrardstreetjournal.com,0
who.int,2
propublica.org,2
yellowhammernews.com,2
news.groopspeak.com,1
fairvote.org,2
intellectualtakeout.org,1
conservativefighters.com,0
oilprice.com,2
the-american-interest.com,2
gawken.com,0
bigleaguepolitics.com,1
azcentral.com,2
leftsideofhistory.com,1
reagancoalition.com,0
monthlyreview.org,2
newswars.com,0
progressive.org,2
oathkeepers.org,0
anthropocenemagazine.org,2
atlbanana.com,0
salon.com,2
bluestemprairie.com,2
brokenworldnews.com,0
atimes.com,2
patriotfires.com,0
allgov.com,2
thegoldwater.com,0
lynx.media,1
resistancereport.com,0
democraticreview.com,0
medicaldaily.com,2
americannewsx.com,1
ibtimes.com,1
japantimes.co.jp,2
chicksontheright.com,1
foreignpolicyjournal.com,2
quantamagazine.org,2
buzzfeed.com,1
harvardpolitics.com,2
newsuptoday.com,0
sciencetrends.com,2
viralcords.com,0
climatecentral.org,2
siouxcityjournal.com,2
commentarymagazine.com,2
themaven.net,1
cpj.org,2
adelaidenow.com.au,1
epi.org,2
atlanticmedia.com,2
bangkokpost.com,2
bigamericannews.com,0
psypost.org,2
beliefnet.com,1
placesjournal.org,2
politicalgarbagechute.com,0
rewire.news,2
defconwarningsystem.com,2
pnas.org,2
truthexaminer.com,0
aljazeera.com,2
milo.yiannopoulos.net,0
magicvalley.com,2
skeptic.com,2
marketwatch.com,2
abriluno.com,0
detroitnews.com,2
thechronicleherald.ca,1
theduran.com,0
teaparty.org,0
frc.org,0
stocksnewsdaily.com,1
retractionwatch.com,2
uawire.org,1
photographyisnotacrime.com,2
babylonbee.com,0
polygraph.info,2
conservativebyte.com,0
fas.org,2
al-monitor.com,2
secondnexus.com,1
nwitimes.com,2
morningstaronline.co.uk,2
climaterealityproject.org,2
theproudliberal.org,0
nccivitas.org,1
vox.com,2
freedumjunkshun.com,0
aol.com,2
lgbtqnation.com,2
beaware.one,0
liberalsociety.com,0
taxpayer.com,2
santamariatimes.com,2
jamestown.org,2
bluntforcetruth.com,0
independent.co.uk,2
desmogblog.com,2
niskanencenter.org,2
scientificamerican.com,2
greenleft.org.au,1
texasmonthly.com,2
pravdareport.com,1
hindustantimes.com,2
peninsuladailynews.com,2
mirror.co.uk,1
americablog.com,2
bb4sp.com,0
firstinfreedomdaily.com,1
fresnobee.com,2
americanpatriotdaily.com,0
helsinkitimes.fi,2
tribunemagazine.org,2
dailywire.com,1
bismarcktribune.com,2
researchantisemitism.ca,0
occupydemocrats.com,0
thedailyvox.co.za,2
newbernsj.com,2
verafiles.org,2
afa.net,0
freedomcrossroads.com,1
noozhawk.com,2
dailydems.com,1
crisismagazine.com,1
thenewsliteracyproject.org,2
wral.com,2
thesternfacts.com,1
truthinmedia.com,0
kff.org,2
rightwingnews.com,0
mediashift.org,2
thebalance.com,2
christianpost.com,1
pogo.org,2
newswithviews.com,0
metro.co.uk,2
thepublicdiscourse.com,0
ocregister.com,2
taxjustice.net,2
theguardian.com,2
dailyprogress.com,2
libcom.org,2
zeit.de,2
statesmanjournal.com,2
renewamerica.com,0
eurasiagroup.net,2
shtfplan.com,0
weeklystandard.com,2
joeforamerica.com,0
greentechmedia.com,2
news.cgtn.com,2
opendemocracy.net,2
breakingdefense.com,2
newsbreakshere.com,0
egyptianstreets.com,1
70news.wordpress.com,0
poynter.org,2
addictinginfo.org,1
surenews.com,0
janes.com,2
nova-magazine.net,1
thewest.com.au,2
usaconservativereport.com,0
express.co.uk,2
postbulletin.com,2
oilandwaterdontmix.org,2
iwf.org,2
newmoderate.com,2
ips-dc.org,2
heritage.org,1
americanheritage.com,2
westmonster.com,2
phnompenhpost.com,2
fair.org,2
redice.tv,0
timesofisrael.com,2
newsmax.com,1
rstreet.org,2
thepostemail.com,1
swedishwire.com,2
diversityinc.com,2
pilotonline.com,2
stopfake.org,2
almasdarnews.com,1
pgpf.org,2
realnewsrightnow.com,0
progresstribune.com,0
rightweb.irc-online.org,2
providencejournal.com,2
jewishbreakingnews.com,1
truth-out.org,1
ffrf.org,2
vermontindependent.org,1
rapidcityjournal.com,2
theonion.com,0
demos.org,2
ledevoir.com,2
auburnpub.com,2
quadrant.org.au,1
patribotics.blog,0
mbganews.com,0
politifeed.net,1
bloomberg.com,2
itsgoingdown.org,1
republicanssucks.org,1
bipartisanpolicy.org,2
antifascistnews.net,2
kentucky.com,2
dailysignal.com,1
courier-journal.com,2
vancouversun.com,2
timescolonist.com,2
techxplore.com,2
dailyrecord.com,2
vivaliberty.com,1
newsite.thehindu.com,2
scotusblog.com,2
dailynews.com,2
hcn.org,2
680news.com,2
jezebel.com,1
takepart.com,2
nautil.us,2
triblive.com,2
crimeresearch.org,1
theoslotimes.com,2
euronews.com,2
pennlive.com,2
toprightnews.com,0
newsobserver.com,2
altoday.com,2
humanprogress.org,1
conservativemedia.com,0
newsbiscuit.com,0
news24.com,2
chicagotribune.com,2
thelondoneconomic.com,1
ebar.com,2
consmovement.com,0
youngcons.com,1
reverbpress.com,1
therebel.media,1
inquirer.net,2
thelapine.ca,0
newpol.org,2
economist.com,2
newrepublic.com,2
lifesitenews.com,1
nextbigfuture.com,2
politifact.com,2
tennesseestar.com,2
pluralist.com,2
sbgi.net,1
thefloridasqueeze.com,1
countercurrents.org,2
newmatilda.com,2
theverge.com,2
loonwatch.com,0
dawn.com,2
everydayfeminism.com,2
weforum.org,2
thereligionofpeace.com,0
voiceofeurope.com,0
aclu.org,2
legalinsurrection.com,1
poststar.com,2
eff.org,2
nationalcenter.org,1
bluenationreview.com,1
realclearpolitics.com,2
thebaffler.com,2
presstv.com,1
hoggwatch.com,0
lethbridgeherald.com,2
valleynewslive.com,2
highline.huffingtonpost.com,2
crosscut.com,2
yesimright.com,0
vidmax.com,0
world.wng.org,1
thecipherbrief.com,2
codepink.org,1
leftscoop.com,1
sltrib.com,2
ipatriot.com,1
news-gazette.com,2
studionewsnetwork.com,0
mcall.com,2
conservativetribune.com,0
dailysabah.com,1
oneindia.com,1
newsthump.com,0
bullshitnews.org,0
ncse.com,2
renewedright.com,1
transparency.org,2
adaa.org,2
alternet.org,1
puppetstringnews.com,0
calwatchdog.com,2
sfchronicle.com,2
progressivestoday.com,0
projectcensored.org,2
billmoyers.com,2
fastcompany.com,2
dailysquib.co.uk,0
citypaper.com,1
jihadwatch.org,0
thepeoplestruth.com,0
financialexpress.com,2
conservativedailypost.com,0
smirkingchimp.com,2
pacificresearch.org,2
truthbetold.news,2
thepeoplescube.com,0
patrioticviralnews.com,0
thenewcivilrightsmovement.com,1
bipartisanreport.com,0
viralthread.com,1
concernedwomen.org,0
thehardtimes.net,0
trib.com,2
ntknetwork.com,1
thatsnonsense.com,2
denverpost.com,2
telesurtv.net,1
metro.us,2
npr.org,2
judicialnetwork.com,1
dailykos.com,1
speisa.com,0
montrealgazette.com,2
thequint.com,1
outlook.monmouth.edu,2
aclj.org,1
elpais.com,2
tytnetwork.com,2
geneticliteracyproject.org,2
nowthisnews.com,1
againstcronycapitalism.org,1
gotnews.com,0
other98.com,1
thinkprogress.org,1
personalliberty.com,0
star-telegram.com,2
trumpservativenews.info,0
viraldevil.com,0
votevets.org,2
bizpacreview.com,1
usatoday.com,2
thehornnews.com,0
colombiareports.com,1
focusonthefamily.com,0
heavy.com,2
rightalerts.com,0
allthatsfab.com,1
globetoday.com,1
fortnightlyreview.co.uk,2
prospect.org,2
fairus.org,0
judicialwatch.org,1
sfgate.com,2
businessinsider.com,2
deepstatenation.com,1
ir.net,1
elitedaily.com,1
chroniclesofdemocracy.com,2
mtstandard.com,2
esquire.com,2
takimag.com,0
squawker.org,0
americanewshub.com,1
morningconsult.com,2
carbonated.tv,2
pmnightlynews.com,0
gopusa.com,1
icij.org,2
9news.com.au,2
newint.org,2
inquisitr.com,1
fwweekly.com,2
consumerreports.org,2
trueviralnews.com,2
politicalsitenews.com,0
dailymail.co.uk,1
techcrunch.com,2
recode.net,2
stepfeed.com,1
thefiscaltimes.com,2
conservativetoday.com,1
pri.org,2
syriana-analysis.com,1
jordantimes.com,2
opednews.com,1
lohud.com,2
cato.org,1
clickhole.com,0
grist.org,2
wnd.com,1
breitbartunmasked.com,1
geologyin.com,2
progressiveliberal.net,1
amren.com,0
act.tv,2
wionews.com,1
baltimoresun.com,2
adflegal.org,0
guns.com,2
getreligion.org,1
webmd.com,2
chroniclesmagazine.org,1
alec.org,1
nzherald.co.nz,2
thewalrus.ca,2
canadafreepress.com,1
rantt.com,2
americansforprosperity.org,1
medicalxpress.com,2
jpost.com,2
courthousenews.com,2
chicagoreporter.com,2
aei.org,1
seattlepi.com,2
thehill.com,1
10news.one,0
tmn.today,0
international.thenewslens.com,2
oaoa.com,2
littlegreenfootballs.com,1
acpeds.org,0
o4anews.com,0
euobserver.com,2
washingtontimes.com,2
therightstuff.biz,0
understandrealitythroughscience.blogspot.com,2
tribunist.com,1
worldnewsdailyreport.com,0
economyincrisis.org,1
realtimepolitics.com,0
en-volve.com,0
timesofindia.indiatimes.com,2
memeorandum.com,1
dailypresser.com,0
indiatoday.intoday.in,2
fairobserver.com,2
japantoday.com,2
thesaturdaypaper.com.au,2
